closed_time,end_date,event_ts,has_history,history_error,history_fidelity,market_id,question,signal_score,slug,start_date,volume_num,yes_token
2025-02-05 02:22:23+00,2025-02-04T12:00:00Z,1738722143,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=66431578832146851598775220954395781615051956253055240386337717850628602240805&startTs=1736130143&endTs=1738722143&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,521790,"Will Trump say ""Iran"" during his February 4 press conference with Netanyahu?",0.0,will-trump-say-iran-during-his-february-4-press-conference-with-netanyahu,2025-02-04T17:42:41.364Z,3302.589481,66431578832146851598775220954395781615051956253055240386337717850628602240805
2025-02-25 22:35:40+00,2025-12-31T12:00:00Z,1740522940,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=59133145609568788502416197833455266591458183768350321640381532171780448031174&startTs=1737930940&endTs=1740522940&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,524357,"Will Karoline Leavitt say ""Iran"" during next White House press briefing?",0.0,will-karoline-leavitt-say-iran-during-next-white-house-press-briefing-02202025,2025-02-21T17:53:35.813565Z,1451,59133145609568788502416197833455266591458183768350321640381532171780448031174
2025-03-22 06:28:59+00,2025-03-21T12:00:00Z,1742624939,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=93503112984903783932675837770318090778589012130734741888476093654701845888030&startTs=1740032939&endTs=1742624939&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,528759,Israeli military action against Iran by Friday?,0.0,israeli-military-action-against-iran-by-friday,2025-03-18T02:00:49.95942Z,28268.717083,93503112984903783932675837770318090778589012130734741888476093654701845888030
2025-03-22 06:29:09+00,2025-03-21T12:00:00Z,1742624949,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=21453350419137524068108982803427927723007928603805535457524619576388467550821&startTs=1740032949&endTs=1742624949&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,528764,Fact Check: Did the U.S. hit Iranian spy ship?,0.0,fact-check-did-the-us-hit-iranian-spy-ship,2025-03-18T02:09:25.638Z,137247.52387,21453350419137524068108982803427927723007928603805535457524619576388467550821
2025-03-28 03:45:10+00,2025-03-27T12:00:00Z,1743133510,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=80851366517111328820622087718488329132582929620008323317740223096708371015373&startTs=1740541510&endTs=1743133510&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,531640,"Will Trump say ""Iran"" during today's Iftar Dinner?",0.0,will-trump-say-iran-during-todays-iftar-dinner,2025-03-27T16:29:50.316Z,2412,80851366517111328820622087718488329132582929620008323317740223096708371015373
2025-03-29 23:25:40+00,2025-03-29T12:00:00Z,1743290740,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=86694432335734636396932856641385680255504755784199174894479712878282922533334&startTs=1740698740&endTs=1743290740&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,531897,Emmers vs. Miranda,0.0,emmers-vs-miranda,2025-03-28T15:54:25.112395Z,32559.313934,86694432335734636396932856641385680255504755784199174894479712878282922533334
2025-04-01 01:10:15+00,2025-03-31T12:00:00Z,1743469815,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=109099146456188978192823972480172627473614560135423824743117322584183532139780&startTs=1740877815&endTs=1743469815&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,532762,"Will Trump say ""Iran"" during Executive Order signing today?",0.0,will-trump-say-iran-during-executive-order-signing-today,2025-03-31T18:07:50.54885Z,588.67876,109099146456188978192823972480172627473614560135423824743117322584183532139780
2025-04-01 07:31:06+00,2025-03-31T12:00:00Z,1743492666,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=803845747400147154016107199450275835775243225115825552805217620770156566042&startTs=1740900666&endTs=1743492666&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,528763,US military action against Iran before April?,0.0,us-military-action-against-iran-before-april,2025-03-18T02:04:31.266Z,147964.527801,803845747400147154016107199450275835775243225115825552805217620770156566042
2025-04-01 07:56:14+00,2025-03-31T12:00:00Z,1743494174,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=113806191964330906304157188205249277745600606021695879898338715678637075979855&startTs=1740902174&endTs=1743494174&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,528760,Israel military action against Iranian nuclear facility in March?,0.0,israel-military-action-against-iranian-nuclear-facility-in-march,2025-03-18T02:09:35.734Z,49514.160255,113806191964330906304157188205249277745600606021695879898338715678637075979855
2025-04-01 09:22:12+00,2025-03-31T12:00:00Z,1743499332,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=54600502781843617970405893877696581517860380992931855114171384178072757933599&startTs=1740907332&endTs=1743499332&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,528761,Israel military action against Iran in March?,0.0,israel-military-action-against-iran-in-march,2025-03-18T02:00:59.905455Z,107651.071354,54600502781843617970405893877696581517860380992931855114171384178072757933599
