baseline_mean,baseline_sd,closed_time,end_date,event_ts,has_history,history_chunk_count,history_error_count,history_point_count,hours_before_close_cross_10pct,hours_before_close_cross_1pct,hours_before_close_cross_2pct,hours_before_close_cross_5pct,jump_24h_to_1h,jump_6h_to_1h,market_id,max_6h,max_6h_z,min_6h,n_points,p_1h,p_24h,p_6h,p_last,pre1h_mean,pre24h_mean,pre6h_mean,question,range_6h,signal_score,slug,start_date,volume_num,yes_token
0.24975557098858628,0.026650791740190888,2025-06-13 03:24:45+00,2025-06-30T12:00:00Z,1749785085,True,10,0,43198,719.99,719.99,719.99,719.99,0.5745,0.49450000000000005,532742,0.9995,28.132163438910418,0.505,43198,0.9995,0.425,0.505,0.9995,0.9995,0.5803552083333333,0.8077541666666667,Israel military action against Iran before July?,0.49450000000000005,41.1911,israel-military-action-against-iran-before-july,2025-03-31T17:03:55.237Z,4506858.957355,109681959945973300464568698402968596289258214226684818748321941747028805721376
0.1227825666737141,0.08399753960170821,2025-06-22 03:03:06+00,2025-06-30T12:00:00Z,1750561386,True,10,0,43189,720.0,720.0,720.0,720.0,0.5710000000000001,0.47550000000000003,532741,0.9995,10.437418018235103,0.5205,43189,0.9985,0.4275,0.523,0.9995,0.9993166666666667,0.5477163194444444,0.8001791666666667,US military action against Iran before July?,0.4790000000000001,31.9287,us-military-action-against-iran-before-july,2025-03-31T17:04:15.402Z,29917021.2541,114122071509644379678018727908709560226618148003371446110114509806601493071694
,,2025-03-29 23:25:40+00,2025-03-29T12:00:00Z,1743290740,True,10,0,1877,31.28,31.28,31.28,31.28,0.5245000000000001,0.1845000000000001,531897,0.9995,,0.43,1877,0.9995,0.475,0.815,0.9995,0.9995,0.8015368055555556,0.8871472222222222,Emmers vs. Miranda,0.5695000000000001,27.125,emmers-vs-miranda,2025-03-28T15:54:25.112395Z,32559.313934,86694432335734636396932856641385680255504755784199174894479712878282922533334
,,2025-04-01 01:10:15+00,2025-03-31T12:00:00Z,1743469815,True,10,0,409,6.8,6.8,6.8,6.8,,-0.4345,532762,0.845,,0.0005,409,0.0005,,0.435,0.0005,0.0005,0.29726039119804404,0.26722083333333335,"Will Trump say ""Iran"" during Executive Order signing today?",0.8445,16.89,will-trump-say-iran-during-executive-order-signing-today,2025-03-31T18:07:50.54885Z,588.67876,109099146456188978192823972480172627473614560135423824743117322584183532139780
,,2025-04-07 21:54:17+00,2025-04-07T12:00:00Z,1744062857,True,10,0,399,6.64,6.64,6.64,6.64,,0.20950000000000002,534857,0.9995,,0.26,399,0.9995,,0.79,0.9995,0.9995,0.7378182957393484,0.7396513888888889,"Will Trump say ""Iran"" 3+ times during Netanyahu events today?",0.7395,14.79,will-trump-say-iran-3-times-during-netanyahu-events-today,2025-04-07T15:02:03.814Z,7327.908235,8631102011871754720536782624876346160186036466589409734780091373426454758236
,,2025-04-10 21:04:21+00,2025-04-10T12:00:00Z,1744319061,True,10,0,1351,22.5,22.5,22.5,22.5,,-0.2195,535819,0.62,,0.0005,1351,0.0005,,0.22,0.0005,0.0005,0.28019096965210954,0.1574111111111111,"Will Trump say ""Iran"" 3+ times during his cabinet meeting on April 10?",0.6195,12.39,will-trump-say-iran-3-times-during-his-cabinet-meeting-on-april-10,2025-04-09T22:19:48.539052Z,4974.196225,65705644848739509993599732002728458021293414197111410129457205885850830248407
,,2025-04-11 20:26:21+00,2025-12-31T12:00:00Z,1744403181,True,10,0,1195,19.9,19.9,19.9,19.9,,0.515,535981,0.9995,,0.48,1195,0.995,,0.48,0.9995,0.999425,0.6035610878661087,0.7523347222222222,"Will Karoline Leavitt say ""Iran"" 3+ times during next White House press briefing?",0.5195000000000001,10.39,will-karoline-leavitt-say-iran-3-times-during-next-white-house-press-briefing-04102025,2025-04-11T00:18:05.906422Z,150.983332,37480005786077232168491728028667052018971672136251707676670457687048789921456
,,2025-02-05 02:22:23+00,2025-02-04T12:00:00Z,1738722143,True,10,0,520,8.66,8.66,8.66,8.66,,0.15450000000000008,521790,0.9995,,0.5,520,0.9995,,0.845,0.9995,0.999225,0.9270153846153847,0.9421333333333334,"Will Trump say ""Iran"" during his February 4 press conference with Netanyahu?",0.49950000000000006,9.99,will-trump-say-iran-during-his-february-4-press-conference-with-netanyahu,2025-02-04T17:42:41.364Z,3302.589481,66431578832146851598775220954395781615051956253055240386337717850628602240805
,,2025-03-28 03:45:10+00,2025-03-27T12:00:00Z,1743133510,True,10,0,662,11.02,11.02,11.02,11.02,,-0.19,531640,0.49,,0.0005,662,0.015,,0.205,0.0005,0.005483333333333333,0.16234063444108762,0.10984583333333334,"Will Trump say ""Iran"" during today's Iftar Dinner?",0.4895,9.79,will-trump-say-iran-during-todays-iftar-dinner,2025-03-27T16:29:50.316Z,2412,80851366517111328820622087718488329132582929620008323317740223096708371015373
0.4190374841168996,0.051997836117357935,2025-02-25 22:35:40+00,2025-12-31T12:00:00Z,1740522940,True,10,0,6028,100.46,100.46,100.46,100.46,-0.3445,-0.3395,524357,0.405,-0.2699628516313123,0.0005,6028,0.0005,0.345,0.34,0.0005,0.0005,0.31579131944444444,0.15930416666666666,"Will Karoline Leavitt say ""Iran"" during next White House press briefing?",0.4045,8.09,will-karoline-leavitt-say-iran-during-next-white-house-press-briefing-02202025,2025-02-21T17:53:35.813565Z,1451,59133145609568788502416197833455266591458183768350321640381532171780448031174
0.8726772881355932,0.05201286274519868,2026-03-03 14:42:05+00,2026-03-10T00:00:00Z,1772548925,True,10,0,4354,72.64,72.64,72.64,72.64,0.006000000000000005,0.0020000000000000018,1465968,0.9995,2.4382951672106126,0.9955,4354,0.9995,0.9935,0.9975,0.9995,0.9995,0.9945253648366922,0.9979108635097493,"Will US or Israel strike Iran on March 3, 2026?",0.0040000000000000036,1.4791,will-us-or-israel-strike-iran-on-march-3-2026,2026-02-28T13:49:07.282034Z,2127874.3337,20671563278326194273629476841536443348129441258326357665995266071337784020692
0.8339281551932367,0.08544091027375751,2025-06-01 07:09:55+00,2025-05-31T12:00:00Z,1748761795,True,10,0,43199,720.0,720.0,720.0,720.0,0.006500000000000061,0.0025000000000000577,539681,0.9995,1.937852069649794,0.997,43199,0.9995,0.993,0.997,0.9995,0.9995,0.9951930555555556,0.9974847222222223,Nothing Ever Happens: May,0.0025000000000000577,1.2139,nothing-ever-happens-may,2025-04-25T21:30:33.883Z,275783.179404,64572482836577611258085510447352016661095667981978225611354285306981655491867
,,2026-03-02 13:31:39+00,2026-03-10T00:00:00Z,1772458299,True,10,0,2845,47.47,47.47,47.47,47.47,0.019000000000000017,0.0040000000000000036,1465967,0.9995,,0.9955,2845,0.9995,0.9805,0.9955,0.9995,0.9995,0.9875611111111111,0.9980416666666667,"Will US or Israel strike Iran on March 2, 2026?",0.0040000000000000036,0.65,will-us-or-israel-strike-iran-on-march-2-2026,2026-02-28T13:49:03.044893Z,2110344.914614,24748787692148674467721380471093526911592120124083141304090990787224433180280
0.35836106489184694,0.10986158777033225,2026-03-03 07:23:09+00,2026-03-31T00:00:00Z,1772522589,True,10,0,3481,58.08,58.08,58.08,58.08,-0.1145,-0.008,1469316,0.0245,-3.0389244472762384,0.0005,3481,0.0005,0.115,0.0085,0.0005,0.0005,0.033590625,0.005579166666666666,Will Iran name a successor to Khamenei by March 2?,0.024,0.48,will-iran-name-a-successor-to-khamenei-by-march-2-645-466-285-492,2026-02-28T21:03:16.574Z,444387.911694,96019566727109921673613294266796469751129634681588314227501241682822173248361
,,2026-03-04 07:36:51+00,2026-03-31T00:00:00Z,1772609811,True,10,0,673,11.22,11.22,11.22,11.22,,-0.0085,1493097,0.0135,,0.0005,673,0.0015,,0.01,0.0005,0.0010932203389830508,0.0227184249628529,0.003479108635097493,"Will Iran announce a new supreme leader on March 3, 2026?",0.013,0.26,will-iran-announce-a-new-supreme-leader-on-march-3-2026,2026-03-03T20:10:00.498003Z,140397.330203,74753836736840991270443732019659556710158468910097519189332179741440390804203
0.04116311034217609,0.025268988698885646,2025-04-01 07:31:06+00,2025-03-31T12:00:00Z,1743492666,True,10,0,20484,341.22,341.38,341.38,341.38,-0.0035,0.0,528763,0.0095,-1.2530422455558112,0.0005,20484,0.0025,0.006,0.0025,0.0015,0.002275,0.003523263888888889,0.0033125,US military action against Iran before April?,0.009,0.18,us-military-action-against-iran-before-april,2025-03-18T02:04:31.266Z,147964.527801,803845747400147154016107199450275835775243225115825552805217620770156566042
0.098215255492471,0.03261956075075348,2025-06-01 06:44:11+00,2025-05-31T12:00:00Z,1748760251,True,10,0,42487,708.12,708.12,708.12,708.12,-0.0115,-0.006999999999999999,540916,0.0075,-2.7810078800762383,0.0005,42487,0.0005,0.012,0.0075,0.0005,0.0005,0.00815,0.0028194444444444443,Israel military action against Iran before June?,0.006999999999999999,0.14,israel-military-action-against-iran-before-june,2025-05-02T18:21:51.083Z,698344.307603,44939317539819072767368114561139572498853620329975668979095413555067370578574
0.018260960144927535,0.007807085846606656,2025-06-01 07:25:51+00,2025-05-31T12:00:00Z,1748762751,True,10,0,43199,,720.0,720.0,,-0.006,-0.004,525668,0.005,-1.698580034276349,0.0005,43199,0.0005,0.0065,0.0045,0.0005,0.0005,0.004650694444444444,0.0025902777777777777,Will Iran enrich uranium to 90% before June?,0.0045000000000000005,0.09,will-iran-enrich-uranium-to-90-before-june,2025-02-27T00:15:25.871Z,99254.450509,8127949561830402818445460502269430289379233506812329992891685697450962278248
0.03838305679642629,0.041793429812205386,2025-03-22 06:28:59+00,2025-03-21T12:00:00Z,1742624939,True,10,0,6014,100.23,100.23,100.23,100.23,-0.006,-0.0025,528759,0.003,-0.8466176850145234,0.0005,6014,0.0005,0.0065,0.003,0.0005,0.0005,0.002344791666666667,0.0007986111111111112,Israeli military action against Iran by Friday?,0.0025,0.05,israeli-military-action-against-iran-by-friday,2025-03-18T02:00:49.95942Z,28268.717083,93503112984903783932675837770318090778589012130734741888476093654701845888030
